Scheme name	Locus tag	Description
cgMLST V2	STMMW_07711 (ybgL)	putative lactam utilization protein
cgMLST V2	STMMW_16551 (ogt)	cysteine methyltransferase
cgMLST V2	STMMW_08721 (rhlE)	ATP-dependent RNA helicase RhlE
cgMLST V2	STMMW_18041 (ycgM)	Fumarylacetoacetate hydrolase
cgMLST V2	STMMW_34471 (slyD)	FKBP-type peptidyl-prolyl cis-trans isomerase
cgMLST V2	STMMW_22861 (napF)	ferredoxin
cgMLST V2	STMMW_05711 (ybbK)	paraslipin
cgMLST V2	STMMW_07571	putative 5-nitroimidazole antibiotic resistance
cgMLST V2	STMMW_28371 (hilD)	transcriptional regulator hilD
cgMLST V2	STMMW_34651 (nirB)	nitrite reductase large subunit
cgMLST V2	STMMW_00491 (fkpB)	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase
cgMLST V2	STMMW_01011 (hepA)	RNA polymerase-binding ATPase
cgMLST V2	STMMW_15851 (yncA)	GNAT family acetyltransferase
cgMLST V2	STMMW_24131 (fadL)	long-chain fatty acid outer membrane transporter
cgMLST V2	STMMW_00721 (caiD)	carnitinyl-CoA dehydratase
cgMLST V2	STMMW_25551 (fdx)	"ferredoxin, 2Fe-2S type, ISC system"
cgMLST V2	STMMW_43431 (ytfE)	"iron-sulfur cluster repair di-iron protein, partial"
cgMLST V2	STMMW_30371 (tktA)	transketolase
cgMLST V2	STMMW_12641	peptide ABC transporter permease
cgMLST V2	STMMW_02381 (accA)	acetyl-CoA carboxylase carboxyltransferase subunit alpha
cgMLST V2	STMMW_30081 (ygfZ)	global regulator
cgMLST V2	STMMW_39021 (wecF)	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
cgMLST V2	STMMW_06541 (fepE)	LPS O-antigen length regulator
cgMLST V2	STMMW_06891 (citC)	[citrate (pro-3S)-lyase] ligase
cgMLST V2	STMMW_14341 (sodB)	superoxide dismutase [Fe]
cgMLST V2	STMMW_30881 (ordL)	FAD-dependent oxidoreductase
cgMLST V2	STMMW_27951 (srlE)	PTS sorbitol transporter subunit IIB
cgMLST V2	STMMW_06091 (ybcJ)	ribosome-associated protein
cgMLST V2	STMMW_37351 (gltS)	sodium/glutamate symporter
cgMLST V2	STMMW_17541 (narJ)	nitrate reductase molybdenum cofactor assembly chaperone
cgMLST V2	STMMW_36331 (yiaC)	GNAT family acetyltransferase
cgMLST V2	STMMW_19491 (fliF)	flagellar M-ring protein FliF
cgMLST V2	STMMW_16761 (ycjG)	dipeptide epimerase
cgMLST V2	STMMW_28901 (surE)	5'/3'-nucleotidase SurE
cgMLST V2	STMMW_38371 (yieH)	Putative phosphatase YieH
cgMLST V2	STMMW_37531 (mgtC)	magnesium transporter
cgMLST V2	STMMW_36481 (xylB)	Xylulose kinase
cgMLST V2	STMMW_07381 (asnB)	asparagine synthase B
cgMLST V2	STMMW_38561 (atpI)	"membrane-bound ATP synthase subunit, F1-F0-type proton-ATPase"
cgMLST V2	STMMW_45261 (trpR)	Trp operon repressor
cgMLST V2	STMMW_35681 (yhhQ)	conserved hypothetical integral membrane protein
cgMLST V2	STMMW_27041 (lapE)	TolC family type I secretion outer membrane protein
cgMLST V2	STMMW_37821 (rbsK)	ribokinase
cgMLST V2	STMMW_07961 (sucD)	succinate--CoA ligase subunit alpha
cgMLST V2	STMMW_23811	putative amino acid transporter
cgMLST V2	STMMW_17961 (ycgB)	SpoVR family protein
cgMLST V2	STMMW_35461 (ugpB)	glycerol-3-phosphate ABC transporter substrate-binding protein
cgMLST V2	STMMW_24631 (cysP)	thiosulfate transporter subunit
cgMLST V2	STMMW_22491 (yejE)	microcin C ABC transporter permease
cgMLST V2	STMMW_42061 (ssb)	"single-stranded DNA-binding protein, partial"
cgMLST V2	STMMW_43221 (yjfN)	membrane protein
cgMLST V2	STMMW_23721 (yfcH)	epimerase
cgMLST V2	STMMW_07451 (ybfM)	chitoporin
cgMLST V2	STMMW_42281 (nrfA)	nitrite reductase (cytochrome; ammonia-forming) c552 subunit
cgMLST V2	STMMW_43081 (hflK)	protease modulator HflK
cgMLST V2	STMMW_12441 (mnmA)	tRNA 2-thiouridine(34) synthase MnmA
cgMLST V2	STMMW_04921 (dxs)	1-deoxy-D-xylulose-5-phosphate synthase
cgMLST V2	STMMW_24091 (sixA)	phosphohistidine phosphatase
cgMLST V2	STMMW_34221 (rplX)	50S ribosomal protein L24
cgMLST V2	STMMW_38971 (rffG)	"dTDP-glucose 4,6-dehydratase"
cgMLST V2	STMMW_05031 (thiJ)	oxidative-stress-resistance chaperone
cgMLST V2	STMMW_25941 (pdxJ)	pyridoxine 5'-phosphate synthase
cgMLST V2	STMMW_05521	putative membrane protein
cgMLST V2	STMMW_10781 (ymbA)	lipoprotein
cgMLST V2	STMMW_40751 (talC)	fructose-6-phosphate aldolase
cgMLST V2	STMMW_24891 (eutS)	ethanolamine utilization protein EutS
cgMLST V2	STMMW_28121 (hycD)	hydrogenase 3 membrane subunit
cgMLST V2	STMMW_06951 (ccrB)	putative fluoride ion transporter CrcB
cgMLST V2	STMMW_42931 (yjeM)	inner membrane transporter YjeM
cgMLST V2	STMMW_14311 (ydhC)	Bcr/CflA family multidrug efflux MFS transporter
cgMLST V2	STMMW_30141 (gcvH)	glycine cleavage system protein H
cgMLST V2	STMMW_10871 (yccF)	Inner membrane protein YccF
cgMLST V2	STMMW_40281 (sbp)	sulfate transporter subunit
cgMLST V2	STMMW_40571 (hslV)	HslU--HslV peptidase proteolytic subunit
cgMLST V2	STMMW_13781 (sufD)	FeS cluster assembly protein SufD
cgMLST V2	STMMW_01601 (lpdA)	dihydrolipoyl dehydrogenase
cgMLST V2	STMMW_01351 (murC)	UDP-N-acetylmuramate--L-alanine ligase
cgMLST V2	STMMW_27651 (ygaP)	Rhodanese-like sulfurtransferase
cgMLST V2	STMMW_27541 (tctB)	tricarboxylate transporter TctB
cgMLST V2	STMMW_33991 (def)	peptide deformylase
cgMLST V2	STMMW_25761 (cadA)	lysine decarboxylase inducible
cgMLST V2	STMMW_29651 (nudH)	RNA pyrophosphohydrolase
cgMLST V2	STMMW_12251 (mfd)	transcription-repair coupling factor
cgMLST V2	STMMW_12781 (yoaG)	putative protein YoaG
cgMLST V2	STMMW_05231 (cypD)	peptidyl-prolyl cis-trans isomerase
cgMLST V2	STMMW_27721 (nrdH)	NrdH-redoxin
cgMLST V2	STMMW_33191 (rpoN)	RNA polymerase sigma-54 factor (sigma-N)
cgMLST V2	STMMW_41151 (thiF)	adenylyltransferase ThiF
cgMLST V2	STMMW_03231 (yafK)	transpeptidase
cgMLST V2	STMMW_36811 (lctR)	transcriptional regulator LldR
cgMLST V2	STMMW_32821 (pnp)	Polyribonucleotide nucleotidyl transferase
cgMLST V2	STMMW_17151 (yciL)	Ribosomal large subunit pseudouridine synthase B
cgMLST V2	STMMW_44501	iicA
cgMLST V2	STMMW_44051 (pyrB)	aspartate carbamoyltransferase catalytic subunit
cgMLST V2	STMMW_33331 (codA)	cytosine deaminase
cgMLST V2	STMMW_33441 (rplM)	50S ribosomal protein L13
cgMLST V2	STMMW_19001 (cheB)	chemotaxis response regulator protein-glutamate methylesterase
cgMLST V2	STMMW_21031 (hisD)	histidinol dehydrogenase
cgMLST V2	STMMW_45011 (rimI)	modification of 30S ribosomal subunit protein S18
cgMLST V2	STMMW_12921 (mipA)	"MltA-interacting protein MipA, partial"
cgMLST V2	STMMW_19261 (sirA)	two-component system response regulator UvrY
cgMLST V2	STMMW_34411 (yheL)	sulfur transfer complex subunit TusB
cgMLST V2	STMMW_05731 (ybbM)	iron export ABC transporter permease subunit FetB
cgMLST V2	STMMW_22801 (napC)	"cytochrome c-type protein NapC, partial"
cgMLST V2	STMMW_32311 (yqjK)	membrane protein
cgMLST V2	STMMW_07591 (speF)	ornithine decarboxylase
cgMLST V2	STMMW_28301 (orgC)	putative type III secretion system effector protein OrgC
cgMLST V2	STMMW_32441 (tdcB)	serine/threonine dehydratase
cgMLST V2	STMMW_42541 (dcuR)	fumarate respiration transcriptional regulator DcuR
cgMLST V2	STMMW_21921 (mlrA)	transcriptional regulator
cgMLST V2	STMMW_03291 (frsA)	esterase
cgMLST V2	STMMW_09161 (ybjG)	putative undecaprenyl-diphosphatase YbjG
cgMLST V2	STMMW_05191 (clpP)	ATP-dependent Clp protease proteolytic subunit
cgMLST V2	STMMW_35321 (gntR)	Gluconate utilization system Gnt-I transcriptional repressor
cgMLST V2	STMMW_15831 (yncC)	colanic acid/biofilm transcriptional regulator
cgMLST V2	STMMW_24151 (yfdC)	transport
cgMLST V2	STMMW_25571 (hscB)	co-chaperone HscB
cgMLST V2	STMMW_03271 (pepD)	cytosol nonspecific dipeptidase
cgMLST V2	STMMW_29401 (fucK)	L-fuculose kinase
cgMLST V2	STMMW_01291 (murE)	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
cgMLST V2	STMMW_43411 (fklB)	peptidyl-prolyl cis-trans isomerase
cgMLST V2	STMMW_39221 (uvrD)	ATP-dependent DNA helicase UvrD
cgMLST V2	STMMW_41811 (lamB)	LamB porin
cgMLST V2	STMMW_21471 (wcaA)	Colanic acid biosynthesis glycosyl transferase WcaA
cgMLST V2	STMMW_41361 (iclR)	IclR family transcriptional regulator
cgMLST V2	STMMW_31401 (ygiN)	quinol monooxygenase
cgMLST V2	STMMW_39591 (mobA)	molybdenum cofactor guanylyltransferase MobA
cgMLST V2	STMMW_16841 (pspB)	phage shock protein B
cgMLST V2	STMMW_06561 (fepG)	iron-enterobactin transporter permease
cgMLST V2	STMMW_06741 (ahpF)	alkyl hydroperoxide reductase subunit F
cgMLST V2	STMMW_40141 (rhaR)	HTH-type transcriptional activator RhaR
cgMLST V2	STMMW_13311	fructosamine kinase
cgMLST V2	STMMW_37331 (recG)	ATP-dependent DNA helicase RecG
cgMLST V2	STMMW_36311 (yhjY)	lipase
cgMLST V2	STMMW_28921 (ispF)	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
cgMLST V2	STMMW_28431 (iacP)	sipF
cgMLST V2	STMMW_33831 (fis)	Fis family transcriptional regulator
cgMLST V2	STMMW_45241 (yjjK)	energy-dependent translational throttle protein EttA
cgMLST V2	STMMW_35661 (tcp)	methyl-accepting chemotaxis citrate transducer
cgMLST V2	STMMW_27061 (lapC)	HlyD family type I secretion periplasmic adaptor subunit
cgMLST V2	STMMW_37801	deoxyribose mutarotase
cgMLST V2	STMMW_11251 (scsC)	suppressor for copper-sensitivity C
cgMLST V2	STMMW_29381 (fucP)	L-fucose transporter
cgMLST V2	STMMW_17941 (alr-a)	alanine racemase catabolic
cgMLST V2	STMMW_23521 (lrhA)	DNA-binding transcriptional repressor LrhA
cgMLST V2	STMMW_23291 (menE)	2-succinylbenzoate-CoA ligase
cgMLST V2	STMMW_07901 (sdhD)	succinate dehydrogenase cytochrome b556 small membrane subunit
cgMLST V2	STMMW_35401 (ggt)	gamma-glutamyltransferase
cgMLST V2	STMMW_42731 (cutA)	divalent-cation tolerance protein CutA
cgMLST V2	STMMW_42041 (uvrA)	excinuclease ABC subunit A
cgMLST V2	STMMW_23741 (hisM)	amino acid ABC transporter permease
cgMLST V2	STMMW_08681 (ybhS)	inner membrane transport permease YbhS
cgMLST V2	STMMW_00041 (yaaA)	hypothetical protein
cgMLST V2	STMMW_18431	inner membrane protein
cgMLST V2	STMMW_14761 (ydgC)	putative membrane protein
cgMLST V2	STMMW_09371 (artJ)	amino acid ABC transporter substrate-binding protein
cgMLST V2	STMMW_04901 (pgpA)	phosphatidylglycerophosphatase A
cgMLST V2	STMMW_08971 (moeA)	Molybdopterin molybdenumtransferase
cgMLST V2	STMMW_34201 (rpsN)	30S ribosomal protein S14
cgMLST V2	STMMW_34751 (damX)	cell division protein DamX
cgMLST V2	STMMW_25961 (era)	GTPase Era
cgMLST V2	STMMW_38951 (rffE)	UDP-N-acetyl glucosamine 2-epimerase
cgMLST V2	STMMW_05051 (yajQ)	N-(5'phosphoribosyl)anthranilate isomerase
cgMLST V2	STMMW_00021 (thrB)	homoserine kinase
cgMLST V2	STMMW_02081 (hemL)	"glutamate-1-semialdehyde 2,1-aminomutase"
cgMLST V2	STMMW_14371 (rnt)	ribonuclease T
cgMLST V2	STMMW_09881 (serC)	3-phosphoserine/phosphohydroxythreonine aminotransferase
cgMLST V2	STMMW_01191 (leuA)	2-isopropylmalate synthase
cgMLST V2	STMMW_40551 (menA)	"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
cgMLST V2	STMMW_01371 (ftsQ)	cell division protein FtsQ
cgMLST V2	STMMW_26921 (corE)	cytochrome c assembly protein
cgMLST V2	STMMW_06351 (apeE)	outer membrane esterase
cgMLST V2	STMMW_27521 (tctD)	two-component system response regulator
cgMLST V2	STMMW_21041 (hisC)	histidinol-phosphate aminotransferase
cgMLST V2	STMMW_25741 (cadC)	transcriptional regulator CadC
cgMLST V2	STMMW_17071 (acnA)	aconitate hydratase 1
cgMLST V2	STMMW_12061 (fabF)	3-oxoacyl-(acyl carrier protein) synthase II
cgMLST V2	STMMW_12231 (ycfR)	putative multiple stress resistance protein BhsA
cgMLST V2	STMMW_10851 (sxy)	Crp/Fnr family transcriptional regulator
cgMLST V2	STMMW_15221 (sotB)	sugar efflux transporter
cgMLST V2	STMMW_38781 (ilvE)	branched chain amino acid aminotransferase
cgMLST V2	STMMW_32801 (deaD)	DEAD/DEAH box helicase
cgMLST V2	STMMW_36871 (cysE)	serine O-acetyltransferase
cgMLST V2	STMMW_35621 (yhhL)	putative inner membrane protein
cgMLST V2	STMMW_16041 (tehA)	potassium-tellurite ethidium and proflavin transporter
cgMLST V2	STMMW_19061 (motA)	"flagellar motor protein MotA, partial"
cgMLST V2	STMMW_18221 (manX)	PTS mannose transporter subunit EIIAB
cgMLST V2	STMMW_18881 (yecO)	tRNA (uridine-5-oxyacetic acid methyl ester)(34) synthase TrmP
cgMLST V2	STMMW_12901 (yeaH)	hypothetical protein
cgMLST V2	STMMW_14571 (rnfE)	electron transport complex subunit RsxE
cgMLST V2	STMMW_02501 (rcsF)	RcsF protein
cgMLST V2	STMMW_02531 (abc)	putative ABC superfamily (atp_bind) transport system
cgMLST V2	STMMW_19281 (yecF)	hypothetical protein
cgMLST V2	STMMW_16591 (ynaI)	"transporter, small conductance mechanosensitive ion channel family protein"
cgMLST V2	STM2932	putative inner membrane protein
cgMLST V2	STMMW_34921 (ompR)	DNA-binding response regulator
cgMLST V2	STMMW_18081 (minE)	cell division topological specificity factor MinE
cgMLST V2	STMMW_34431 (yheN)	tRNA 2-thiouridine(34) synthase TusD
cgMLST V2	STMMW_22351 (nfo)	deoxyribonuclease IV
cgMLST V2	STMMW_29841	amino acid transporter
cgMLST V2	STMMW_14681 (manA)	"mannose-6-phosphate isomerase, class I"
cgMLST V2	STMMW_36691	putative sugar kinase
cgMLST V2	STMMW_32371 (yhaL)	hypothetical protein
cgMLST V2	STMMW_23191 (yfaO)	nucleoside triphosphatase
cgMLST V2	STMMW_45031 (prfC)	peptide chain release factor 3
cgMLST V2	STMMW_38891 (gppA)	guanosine polyphosphate pyrophosphohydrolase
cgMLST V2	STMMW_17881 (treA)	"alpha,alpha-trehalase"
cgMLST V2	STMMW_08761 (ybiI)	protein YbiI
cgMLST V2	STMMW_04591 (yaiA)	hypothetical protein
cgMLST V2	STMMW_09141 (dacC)	D-alanyl-D-alanine carboxypeptidase DacC
cgMLST V2	STMMW_38461 (glmS)	glutamine--fructose-6-phosphate transaminase (isomerizing)
cgMLST V2	STMMW_43381 (rplI)	50S ribosomal protein L9
cgMLST V2	STMMW_15811	"periplasmic protein, partial"
cgMLST V2	STMMW_35341 (yhhX)	oxidoreductase
cgMLST V2	STMMW_29461 (ygdI)	DUF903 domain-containing protein
cgMLST V2	STMMW_38011 (yidR)	"putative ATP/GTP-binding protein, partial"
cgMLST V2	STMMW_30331 (qrtT)	signal transduction histidine kinase
cgMLST V2	STMMW_39201 (xerC)	tyrosine recombinase XerC
cgMLST V2	STMMW_31421 (yqiA)	cyclic 3'%2C5'-adenosine monophosphate phosphodiesterase
cgMLST V2	STMMW_00761 (caiT)	L-carnitine:gamma-butyrobetaine antiporter
cgMLST V2	STMMW_05311 (mdlA)	multidrug ABC transporter permease/ATP-binding protein
cgMLST V2	STMMW_21671 (yegQ)	U32 family peptidase
cgMLST V2	STMMW_01411 (yacA)	SecA regulator SecM
cgMLST V2	STMMW_40121 (rhaB)	rhamnulokinase
cgMLST V2	STMMW_13331 (pfkB)	6-phosphofructokinase class 2
cgMLST V2	STMMW_37311 (spoT)	"bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
cgMLST V2	STMMW_21901 (yehT)	two-component system response regulator YehT
cgMLST V2	STMMW_41831 (ubiC)	chorismate--pyruvate lyase
cgMLST V2	STMMW_21451 (wcaC)	colanic acid biosynthesis glycosyltransferase WcaC
cgMLST V2	STMMW_36991 (rfaD)	ADP-glyceromanno-heptose 6-epimerase
cgMLST V2	STMMW_27881 (csrA)	carbon storage regulator
cgMLST V2	STMMW_17501 (ychJ)	protein YchJ
cgMLST V2	STMMW_17051 (pgpB)	phosphatidylglycerophosphatase B
cgMLST V2	STMMW_19541 (fliK)	flagellar hook-length control protein
cgMLST V2	STMMW_35641 (yhhN)	membrane protein
cgMLST V2	STMMW_33761 (msrQ)	sulfoxide reductase heme-binding subunit YedZ
cgMLST V2	STMMW_11271 (agp)	bifunctional glucose-1-phosphatase/inositol phosphatase
cgMLST V2	STMMW_11901 (flgJ)	peptidoglycan hydrolase FlgJ
cgMLST V2	STMMW_37861	YsdA
cgMLST V2	STMMW_36191 (dppC)	peptide ABC transporter permease
cgMLST V2	STMMW_35421 (ugpQ)	glycerophosphoryl diester phosphodiesterase
cgMLST V2	STMMW_04691 (brnQ)	branched-chain amino acid transport system 2 carrier protein BrnQ
cgMLST V2	STMMW_42711 (yjdC)	transcriptional regulator
cgMLST V2	STMMW_18141 (yoaB)	endoribonuclease L-PSP
cgMLST V2	STMMW_18411 (yebW)	secreted protein
cgMLST V2	STMMW_09311 (potI)	putrescine transporter subunit: membrane component of ABC superfamily
cgMLST V2	STMMW_23501 (nuoA)	NADH-quinone oxidoreductase subunit A
cgMLST V2	STMMW_07921 (sdhB)	succinate dehydrogenase iron-sulfur subunit
cgMLST V2	STMMW_08401 (hutG)	formimidoylglutamase
cgMLST V2	STMMW_08951 (pflE)	putative pyruvate formate-lyase 3 activating enzyme
cgMLST V2	STMMW_28251 (sitC)	iron transporter inner membrane component
cgMLST V2	STMMW_34771 (aroK)	shikimate kinase
cgMLST V2	STMMW_38931 (rfe)	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
cgMLST V2	STMMW_23761 (hisJ)	zinc transporter
cgMLST V2	STMMW_24231	membrane protein
cgMLST V2	STMMW_40711 (metF)	"5,10-methylenetetrahydrofolate reductase"
cgMLST V2	STMMW_13431 (rpl20)	50S ribosomal protein L20
cgMLST V2	STMMW_42971 (yjeQ)	ribosome small subunit-dependent GTPase A
cgMLST V2	STMMW_05461 (acrA)	MexE family multidrug efflux RND transporter periplasmic adaptor subunit
cgMLST V2	STMMW_01171 (leuC)	3-isopropylmalate dehydratase large subunit
cgMLST V2	STMMW_43591 (fbp)	"fructose-1,6-bisphosphatase class 1"
cgMLST V2	STMMW_26901 (rps16)	30S ribosomal protein S16
cgMLST V2	STMMW_01311 (mraY)	phospho-N-acetylmuramoyl-pentapeptide-transferase
cgMLST V2	STMMW_15591 (yddX)	biofilm-dependent modulation protein
cgMLST V2	STMMW_06331 (pheP)	aromatic amino acid transporter
cgMLST V2	STMMW_27501 (nixA)	nickel/cobalt transporter NixA
cgMLST V2	STMMW_13291 (yniC)	2-deoxyglucose-6-phosphate hydrolase YniC
cgMLST V2	STMMW_25011 (yffB)	glutathione-dependent thiol reductase
cgMLST V2	STMMW_21021 (hisG)	ATP phosphoribosyltransferase
cgMLST V2	STMMW_41991 (aphA)	acid phosphatase AphA
cgMLST V2	STMMW_29611 (comN)	"prepilin peptidase dependent protein A, partial"
cgMLST V2	STMMW_12211 (ycfJ)	Rick_17kDa_Anti super famil
cgMLST V2	STMMW_39411 (ubiE)	ubiquinone biosynthesis methyltransferase UbiE
cgMLST V2	STMMW_33151 (yrbI)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
cgMLST V2	STMMW_37101 (rfaP)	lipopolysaccharide core heptose(I) kinase RfaP
cgMLST V2	STMMW_41191 (nudC)	NADH pyrophosphatase
cgMLST V2	STMMW_17191 (trpD)	bifunctional glutamine amidotransferase/anthranilate phosphoribosyltransferase
cgMLST V2	STMMW_33371 (nanT)	sialic acid transporter
cgMLST V2	STMMW_16061 (rimL)	ribosomal-protein-L7/L12-serine acetyltransferase
cgMLST V2	STMMW_19041 (cheA)	histidine kinase CheA
cgMLST V2	STMMW_28881 (nlpD)	murein hydrolase activator NlpD
cgMLST V2	STMMW_11591 (mdoH)	Glucans biosynthesis glucosyltransferase H
cgMLST V2	STMMW_14511 (pdxH)	pyridoxine/pyridoxamine 5'-phosphate oxidase
cgMLST V2	STMMW_13261 (cedA)	cell division activator CedA
cgMLST V2	STMMW_36501 (xylR)	XylR family transcriptional regulator
cgMLST V2	STMMW_32681 (yraR)	putative nucleoside-diphosphate-sugar epimerase
cgMLST V2	STMMW_07001 (lipB)	lipoyl(octanoyl) transferase
cgMLST V2	STMMW_22371 (fruK)	1-phosphofructokinase
cgMLST V2	STMMW_32351 (yhaJ)	LysR family transcriptional regulator
cgMLST V2	STMMW_32421 (tdcD)	propionate kinase
cgMLST V2	STMMW_44901 (dnaT)	Primosomal protein 1 Primosomal protein I
cgMLST V2	STMMW_01951 (hrpB)	ATP-dependent RNA helicase HrpB
cgMLST V2	STMMW_04421 (hemB)	delta-aminolevulinic acid dehydratase
cgMLST V2	STM2666	hypothetical protein
cgMLST V2	STMMW_15601 (rpsV)	30S ribosomal subunit S22
cgMLST V2	STMMW_11731 (grxB)	glutaredoxin 2
cgMLST V2	STMMW_34901 (pckA)	phosphoenolpyruvate carboxykinase (ATP)
cgMLST V2	STMMW_43361 (priB)	primosomal replication protein N
cgMLST V2	STMMW_29441 (ygdD)	membrane protein
cgMLST V2	STMMW_31621 (glnE)	bifunctional glutamine synthetase adenylyltransferase/deadenyltransferase
cgMLST V2	STMMW_31191 (exbB)	biopolymer transporter ExbB
cgMLST V2	STMMW_43101 (purA)	adenylosuccinate synthetase
cgMLST V2	STMMW_18601 (opdB)	oligopeptidase B
cgMLST V2	STMMW_31441 (yqiB)	dehydrogenase
cgMLST V2	STMMW_01781 (yadG)	"ABC-type multidrug transport system, ATPase component"
cgMLST V2	STMMW_02321 (lpxD)	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase
cgMLST V2	STMMW_39081 (hemD)	uroporphyrinogen III methyltransferase
cgMLST V2	STMMW_06521 (ybdZ)	invasin
cgMLST V2	STMMW_06831 (citT)	anion permease
cgMLST V2	STMMW_34011 (fmu)	16S rRNA m5C967 methyltransferase
cgMLST V2	STMMW_00781 (fixB)	electron transfer flavoprotein subunit alpha FixB
cgMLST V2	STMMW_05331 (glnK)	nitrogen regulatory protein P-II 2
cgMLST V2	STMMW_01431 (mutT)	nucleoside triphosphate pyrophosphohydrolase
cgMLST V2	STMMW_30861	APC family amino acid permease
cgMLST V2	STMMW_40101 (rhaD)	rhamnulose-1-phosphate aldolase
cgMLST V2	STMMW_13351 (lpxR)	putative outer membrane protein
cgMLST V2	STMMW_41851 (plsB)	glycerol-3-phosphate 1-O-acyltransferase
cgMLST V2	STMMW_39621 (dsbA)	periplasmic protein disulfide isomerase I
cgMLST V2	STMMW_30711 (mutY)	A/G-specific adenine glycosylase
cgMLST V2	STMMW_28471 (sipB)	"pathogenicity island 1 effector protein SipB, partial"
cgMLST V2	STMMW_38681 (rbsB)	D-ribose ABC transporter substrate-binding protein
cgMLST V2	STMMW_25461 (dmsB)	"dimethylsulfoxide reductase, chain B"
cgMLST V2	STMMW_17291 (yciC)	putative membrane protein
cgMLST V2	STMMW_13971 (ssrA)	hybrid sensor histidine kinase/response regulator
cgMLST V2	STMMW_41271 (hydG)	Response regulator of zinc sigma-54-dependent two-component system
cgMLST V2	STMMW_12001 (rpl32)	50S ribosomal protein L32
cgMLST V2	STMMW_12551 (pagC)	"Attachment invasion locus protein precursor, partial"
cgMLST V2	STMMW_17072 (ymiA)	hypothetical protein
cgMLST V2	STMMW_19561 (fliM)	flagellar motor switch protein FliM
cgMLST V2	STMMW_35991 (yhjG)	AsmA family protein
cgMLST V2	STMMW_33741 (yhdH)	quinone oxidoreductase YhdH/YhfP family
cgMLST V2	STMMW_37841 (ilvN)	acetolactate synthase isozyme 1 small subunit
cgMLST V2	STMMW_11921 (flgL)	flagellar hook-associated protein FlgL
cgMLST V2	STMMW_22161 (sanA)	vancomycin sensitivity
cgMLST V2	STMMW_32161 (yqjI)	PadR family transcriptional regulator
cgMLST V2	STMMW_18381	Paraquat-inducible protein B
cgMLST V2	STMMW_42771 (yjeH)	L-methionine/branched-chain amino acid transporter
cgMLST V2	STMMW_34571 (crp)	cAMP-activated global transcriptional regulator CRP
cgMLST V2	STMMW_18161 (pabB)	aminodeoxychorismate synthase component I
cgMLST V2	STMMW_14721 (rstB)	two-component system sensor histidine kinase RstB
cgMLST V2	STMMW_36711 (selA)	L-seryl-tRNA(Sec) selenium transferase
cgMLST V2	STMMW_23561 (yfbT)	putative phosphatase
cgMLST V2	STMMW_24031 (yfcM)	elongation factor P hydroxylase
cgMLST V2	STMMW_30841	LysR family transcriptional regulator
cgMLST V2	STMMW_24781 (eutA)	reactivating factor for ethanolamine ammonia lyase
cgMLST V2	STMMW_34711 (trpS)	tryptophan--tRNA ligase
cgMLST V2	STMMW_38911 (trxA)	thiol reductase thioredoxin
cgMLST V2	STMMW_42191 (yjcD)	Xanthine/uracil/thiamine/ascorbate permease
cgMLST V2	STMMW_25921 (yfhL)	ferredoxin
cgMLST V2	STMMW_23781 (ubiX)	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
cgMLST V2	STMMW_24251 (yfdZ)	alanine transaminase
cgMLST V2	STMMW_28181 (hypC)	hydrogenase assembly protein HypC
cgMLST V2	STMMW_09841 (pflB)	formate acetyltransferase
cgMLST V2	STMMW_01151 (yabN)	transcriptional regulator SgrR
cgMLST V2	STMMW_01152 (sgrT)	inhibitor of glucose uptake transporter
cgMLST V2	STMMW_40841 (ppc)	phosphoenolpyruvate carboxylase
cgMLST V2	STMMW_34021 (sapG)	potassium transporter peripheral membrane component
cgMLST V2	STMMW_22841 (napA)	nitrate reductase catalytic subunit
cgMLST V2	STMMW_29581 (comQ)	prepilin peptidase dependent protein C
cgMLST V2	STMMW_01331 (ftsW)	flippase
cgMLST V2	STMMW_10721 (ycbW)	cell division protein ZapC
cgMLST V2	STMMW_10091 (aspC)	aromatic amino acid aminotransferase
cgMLST V2	STMMW_21001 (yeeY)	LysR family transcriptional regulator
cgMLST V2	STMMW_21551 (yegE)	diguanylate cyclase/phosphodiesterase
cgMLST V2	STMMW_25071 (dapA)	4-hydroxy-tetrahydrodipicolinate synthase
cgMLST V2	STMMW_12761 (yeaS)	"leucine export protein LeuE, partial"
cgMLST V2	STMMW_29631 (lgt)	prolipoprotein diacylglyceryl transferase
cgMLST V2	STMMW_10891 (mgsA)	methylglyoxal synthase
cgMLST V2	STMMW_39431 (aarF)	ubiquinone biosynthesis regulatory protein kinase UbiB
cgMLST V2	STMMW_30471 (speA)	arginine decarboxylase
cgMLST V2	STMMW_40591 (cytR)	DNA-binding transcriptional regulator CytR
