Scheme name	Locus tag	Description
cgMLST V1	b2900 (yqfB)	UPF0267 family protein
cgMLST V1	b2901 (bglA)	6-phospho-beta-glucosidase A
cgMLST V1	b2904 (gcvH)	glycine cleavage complex lipoylprotein
cgMLST V1	b2905 (gcvT)	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex "
cgMLST V1	b2906 (ubiI)	"2-octaprenylphenol hydroxylase, FAD-dependent"
cgMLST V1	b2907 (ubiH)	"2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding "
cgMLST V1	b1596 (ynfM)	putative arabinose efflux transporter
cgMLST V1	b1597 (asr)	acid shock-inducible periplasmic protein
cgMLST V1	b1592 (clcB)	H(+)/Cl(-) exchange transporter
cgMLST V1	b1593 (ynfK)	putative dethiobiotin synthetase
cgMLST V1	b1591 (dmsD)	twin-argninine leader-binding protein for DmsA and TorA
cgMLST V1	b4410 (ecnA)	"entericidin A membrane lipoprotein, antidote entericidin B"
cgMLST V1	b4411 (ecnB)	entericidin B membrane lipoprotein
cgMLST V1	b0241 (phoE)	outer membrane phosphoporin protein E
cgMLST V1	b0243 (proA)	gamma-glutamylphosphate reductase
cgMLST V1	b0242 (proB)	gamma-glutamate kinase
cgMLST V1	b2249 (yfaY)	inactive PncC family protein
cgMLST V1	b2242 (glpB)	"sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit "
cgMLST V1	b2241 (glpA)	"sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding "
cgMLST V1	b2240 (glpT)	sn-glycerol-3-phosphate transporter
cgMLST V1	b1927 (amyA)	cytoplasmic alpha-amylase
cgMLST V1	b1925 (fliS)	flagellar protein potentiates polymerization
cgMLST V1	b1922 (fliA)	"RNA polymerase, sigma 28 (sigma F) factor"
cgMLST V1	b1920 (fliY)	cystine transporter subunit
cgMLST V1	b1929 (yedE)	UPF0394 family sulfur transport domain-containing inner membrane protein
cgMLST V1	b1928 (yedD)	lipoprotein
cgMLST V1	b4546 (ypeB)	DUF3820 family protein
cgMLST V1	b4547 (ypfN)	"putative membrane protein, UPF0370 family"
cgMLST V1	b0890 (ftsK)	DNA translocase at septal ring sorting daughter chromsomes
cgMLST V1	b0891 (lolA)	lipoprotein chaperone
cgMLST V1	b0892 (rarA)	DNA-dependent ATPase involved in processing recombination intermediates at replication forks
cgMLST V1	b0893 (serS)	"seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine "
cgMLST V1	b0894 (dmsA)	"dimethyl sulfoxide reductase, anaerobic, subunit A "
cgMLST V1	b0896 (dmsC)	"dimethyl sulfoxide reductase, anaerobic, subunit C "
cgMLST V1	b0898 (ycaD)	putative MFS-type transporter
cgMLST V1	b2153 (folE)	GTP cyclohydrolase I
cgMLST V1	b1413 (hrpA)	putative ATP-dependent helicase
cgMLST V1	b1412 (azoR)	"NADH-azoreductase, FMN-dependent "
cgMLST V1	b1418 (cybB)	cytochrome b561
cgMLST V1	b2156 (lysP)	lysine transporter
cgMLST V1	b4595 (yciY)	uncharacterized protein
cgMLST V1	b4596 (yciZ)	uncharacterized protein
cgMLST V1	b4592 (cbdX)	putative cytochrome bd-II oxidase subunit
cgMLST V1	b4598 (yncL)	stress-induced small inner membrane enterobacterial protein
cgMLST V1	b4620 (yjbT)	putative periplasmic protein
cgMLST V1	b3011 (yqhD)	"aldehyde reductase, NADPH-dependent"
cgMLST V1	b3010 (yqhC)	transcriptional activator of yqhD
cgMLST V1	b3012 (dkgA)	"2,5-diketo-D-gluconate reductase A "
cgMLST V1	b3014 (yqhH)	"outer membrane lipoprotein, Lpp paralog"
cgMLST V1	b3017 (ftsP)	septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts)
cgMLST V1	b3019 (parC)	"DNA topoisomerase IV, subunit A "
cgMLST V1	b3018 (plsC)	1-acyl-sn-glycerol-3-phosphate acyltransferase
cgMLST V1	b0393 (rdgC)	nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function
cgMLST V1	b0390 (aroM)	AroM family protein
cgMLST V1	b3906 (rhaR)	transcriptional activator of rhaSR
cgMLST V1	b3905 (rhaS)	transcriptional activator of rhaBAD and rhaT
cgMLST V1	b3908 (sodA)	"superoxide dismutase, Mn "
cgMLST V1	b1185 (dsbB)	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I
cgMLST V1	b0856 (potH)	putrescine transporter subunit: membrane component of ABC superfamily
cgMLST V1	b0708 (phr)	"deoxyribodipyrimidine photolyase, FAD-binding "
cgMLST V1	b0709 (dtpD)	dipeptide and tripeptide permease D
cgMLST V1	b0707 (ybgA)	DUF1722 family protein
cgMLST V1	b2618 (ratB)	UPF0125 family protein
cgMLST V1	b2619 (ratA)	toxic UPF0083 family protein inhibitor of 70S ribosome formation
cgMLST V1	b2610 (ffh)	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)
cgMLST V1	b2611 (ypjD)	cytochrome c assembly protein family inner membrane protein
cgMLST V1	b2615 (nadK)	NAD kinase
cgMLST V1	b2616 (recN)	recombination and repair protein
cgMLST V1	b2617 (bamE)	lipoprotein component of BamABCDE OM biogenesis complex
cgMLST V1	ECs4266 (glpR)	DNA-binding transcriptional repressor GlpR
cgMLST V1	b4123 (dcuB)	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor"
cgMLST V1	b4124 (dcuR)	response regulator in two-component regulatory system with DcuS
cgMLST V1	b4125 (dcuS)	"sensory histidine kinase in two-component regulatory system with DcuR, regulator of anaerobic fumarate respiration"
cgMLST V1	NCTC12129_01305 (argT)	lysine/arginine/ornithine transport system substrate-binding protein
cgMLST V1	b3200 (lptA)	periplasmic LPS-binding protein
cgMLST V1	b3201 (lptB)	lipopolysaccharide export ABC transporter ATP-binding protein of the LptBFGC export complex
cgMLST V1	b3202 (rpoN)	"RNA polymerase, sigma 54 (sigma N) factor"
cgMLST V1	b3203 (hpf)	ribosome hibernation promoting factor HPF; stabilizes 70S dimers (100S)
cgMLST V1	b3204 (ptsN)	sugar-specific enzyme IIA component of PTS
cgMLST V1	b3205 (yhbJ)	adaptor protein RapZ for GlmZ/GlmY sRNA decay; glucosamine-6-phosphate regulated; NTPase
cgMLST V1	b3206 (npr)	phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)
cgMLST V1	b3207 (yrbL)	Mg(2+)-starvation-stimulated protein
cgMLST V1	b3208 (mtgA)	biosynthetic peptidoglycan transglycosylase
cgMLST V1	b3209 (elbB)	isoprenoid biosynthesis protein with amidotransferase-like domain
cgMLST V1	b2152 (yeiB)	DUF418 family putative inner membrane protein
cgMLST V1	b2151 (galS)	galactose- and fucose-inducible galactose regulon transcriptional isorepressor; mgl operon transcriptional repressor; autorepressor
cgMLST V1	b2150 (mglB)	methyl-galactoside transporter subunit
cgMLST V1	b2157 (yeiE)	putative DNA-binding transcriptional regulator
cgMLST V1	b2159 (nfo)	endonuclease IV with intrinsic 3'-5' exonuclease activity
cgMLST V1	b2158 (yeiH)	UPF0324 family inner membrane protein
cgMLST V1	b4322 (uxuA)	mannonate hydrolase
cgMLST V1	b4324 (uxuR)	fructuronate-inducible hexuronate regulon transcriptional repressor; autorepressor
cgMLST V1	b1669 (ydhT)	"FNR, Nar, NarP-regulated protein; putative subunit of YdhYVWXUT oxidoreductase complex"
cgMLST V1	b1660 (ydhC)	putative arabinose efflux transporter
cgMLST V1	b1661 (cfa)	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)
cgMLST V1	b1662 (ribC)	"riboflavin synthase, alpha subunit "
cgMLST V1	b1663 (mdtK)	multidrug efflux system transporter
cgMLST V1	b1667 (ydhR)	putative monooxygenase
cgMLST V1	b0133 (panC)	pantothenate synthetase
cgMLST V1	b0131 (panD)	aspartate 1-decarboxylase
cgMLST V1	b0130 (yadE)	putative polysaccharide deacetylase lipoprotein
cgMLST V1	b0134 (panB)	3-methyl-2-oxobutanoate hydroxymethyltransferase
cgMLST V1	b3614 (yibQ)	putative polysaccharide deacetylase
cgMLST V1	b3779 (gpp)	guanosine pentaphosphatase/exopolyphosphatase
cgMLST V1	b3770 (ilvE)	branched-chain amino-acid aminotransferase
cgMLST V1	b3771 (ilvD)	dihydroxyacid dehydratase
cgMLST V1	b3772 (ilvA)	"L-threonine dehydratase, biosynthetic; also known as threonine deaminase "
cgMLST V1	b3774 (ilvC)	"ketol-acid reductoisomerase, NAD(P)-binding "
cgMLST V1	b3775 (ppiC)	peptidyl-prolyl cis-trans isomerase C (rotamase C)
cgMLST V1	b2428 (murQ)	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase
cgMLST V1	b2423 (cysW)	sulfate/thiosulfate ABC transporter subunit
cgMLST V1	b2422 (cysA)	sulfate/thiosulfate transporter subunit
cgMLST V1	b2421 (cysM)	cysteine synthase B (O-acetylserine sulfhydrolase B)
cgMLST V1	b2426 (ucpA)	"furfural resistance protein, putative short-chain oxidoreductase"
cgMLST V1	b2425 (cysP)	thiosulfate-binding protein
cgMLST V1	b2424 (cysU)	sulfate/thiosulfate ABC transporter permease
cgMLST V1	b1307 (pspD)	peripheral inner membrane phage-shock protein
cgMLST V1	b1306 (pspC)	psp operon transcription co-activator
cgMLST V1	b1305 (pspB)	psp operon transcription co-activator
cgMLST V1	b1304 (pspA)	regulatory protein for phage-shock-protein operon
cgMLST V1	b1308 (pspE)	thiosulfate:cyanide sulfurtransferase (rhodanese)
cgMLST V1	b3433 (asd)	"aspartate-semialdehyde dehydrogenase, NAD(P)-binding "
cgMLST V1	b3432 (glgB)	"1,4-alpha-glucan branching enzyme "
cgMLST V1	b3431 (glgX)	glycogen debranching enzyme
cgMLST V1	b3430 (glgC)	glucose-1-phosphate adenylyltransferase
cgMLST V1	b3437 (gntK)	gluconate kinase 2
cgMLST V1	b3434 (yhgN)	UPF0056 family inner membrane protein
cgMLST V1	b3439 (yhhW)	quercetinase activity in vitro
cgMLST V1	b3438 (gntR)	d-gluconate inducible gluconate regulon transcriptional repressor
cgMLST V1	b4024 (lysC)	lysine-sensitive aspartokinase 3
cgMLST V1	b4026 (yjbE)	extracellular polysaccharide production threonine-rich protein
cgMLST V1	b4021 (pepE)	(alpha)-aspartyl dipeptidase
cgMLST V1	b2916 (argP)	transcriptional regulator for arginine transport and DNA replication genes; replication initiation inhibitor
cgMLST V1	b0818 (ybiR)	putative transporter
cgMLST V1	b0819 (ldtB)	"L,D-transpeptidase linking Lpp to murein"
cgMLST V1	b0811 (glnH)	glutamine transporter subunit
cgMLST V1	b0813 (rhtA)	threonine and homoserine efflux system
cgMLST V1	b0814 (ompX)	outer membrane protein X
cgMLST V1	b0815 (ybiP)	"putative EptAB family phosphoethanolamine transferase, inner membrane protein"
cgMLST V1	b0817 (mntR)	Mn(2+)-responsive manganese regulon transcriptional regulator
cgMLST V1	b1492 (gadC)	glutamate:gamma-aminobutyric acid antiporter
cgMLST V1	b1491 (yddW)	"liprotein, glycosyl hydrolase homolog"
cgMLST V1	b4515 (cydX)	cytochrome d (bd-I) ubiquinol oxidase subunit X
cgMLST V1	b4513 (kdpF)	potassium ion accessory transporter subunit
cgMLST V1	b0369 (hemB)	5-aminolevulinate dehydratase (porphobilinogen synthase)
cgMLST V1	b0366 (tauB)	taurine transporter subunit
cgMLST V1	b0367 (tauC)	taurine transporter subunit
cgMLST V1	b3639 (dfp)	"fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding "
cgMLST V1	b3635 (mutM)	formamidopyrimidine/5-formyluracil/5-hydroxymethyluracil DNA glycosylase
cgMLST V1	b3634 (coaD)	pantetheine-phosphate adenylyltransferase
cgMLST V1	b3637 (rpmB)	50S ribosomal subunit protein L28
cgMLST V1	b3636 (rpmG)	50S ribosomal subunit protein L33
cgMLST V1	b3631 (waaG)	glucosyltransferase I
cgMLST V1	b3630 (waaP)	kinase that phosphorylates core heptose of lipopolysaccharide
cgMLST V1	b3633 (waaA)	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)
cgMLST V1	b2328 (mepA)	murein DD-endopeptidase
cgMLST V1	b2329 (aroC)	chorismate synthase
cgMLST V1	b2320 (pdxB)	erythronate-4-phosphate dehydrogenase
cgMLST V1	b2321 (flk)	putative flagella assembly protein
cgMLST V1	b2322 (yfcJ)	putative arabinose efflux transporter
cgMLST V1	b2323 (fabB)	3-oxoacyl-[acyl-carrier-protein] synthase I
cgMLST V1	b2324 (mnmC)	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme
cgMLST V1	b2325 (yfcL)	uncharacterized protein
cgMLST V1	b2326 (epmC)	Elongation Factor P Lys34 hydroxylase
cgMLST V1	b3983 (rplK)	50S ribosomal subunit protein L11
cgMLST V1	b3982 (nusG)	transcription termination factor
cgMLST V1	b3981 (secE)	preprotein translocase membrane subunit
cgMLST V1	b3987 (rpoB)	"RNA polymerase, beta subunit "
cgMLST V1	b3986 (rplL)	50S ribosomal subunit protein L7/L12
cgMLST V1	b3985 (rplJ)	50S ribosomal subunit protein L10
cgMLST V1	b3984 (rplA)	50S ribosomal subunit protein L1
cgMLST V1	b2584 (pka)	protein lysine acetyltransferase
cgMLST V1	b2585 (pssA)	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)
cgMLST V1	b2586 (yfiM)	putative lipoprotein
cgMLST V1	b2580 (ung)	uracil-DNA-glycosylase
cgMLST V1	b2581 (yfiF)	putative methyltransferase
cgMLST V1	b2582 (trxC)	thioredoxin 2
cgMLST V1	b2583 (yfiP)	DTW domain protein
cgMLST V1	b1804 (rnd)	ribonuclease D
cgMLST V1	b1805 (fadD)	acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase)
cgMLST V1	b1806 (yeaY)	"Slp family lipoprotein, RpoE-regulated"
cgMLST V1	b1807 (tsaB)	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; binding partner and protease for TsaD
cgMLST V1	b1808 (yoaA)	"putative ATP-dependent helicase, DinG family"
cgMLST V1	b1809 (yoaB)	putative reactive intermediate deaminase
cgMLST V1	b4406 (yaeP)	UPF0253 family protein
cgMLST V1	b4402 (yjjY)	uncharacterized protein
cgMLST V1	b4401 (arcA)	response regulator in two-component regulatory system with ArcB or CpxA
cgMLST V1	b4400 (creD)	inner membrane protein
cgMLST V1	b1759 (nudG)	"CTP pyrophosphohydrolase; also hydrolyzes 2-hydroxy-dATP, 8-hydroxy-dGTP, 5-hydroxy-CTP, dCTP and 5-methyl-dCTP "
cgMLST V1	b1756 (ynjD)	putative ABC superfamily transporter ATP-binding subunit
cgMLST V1	b1751 (ydjY)	putative ferrodoxin-like lipoprotein
cgMLST V1	b1752 (ydjZ)	TVP38/TMEM64 family inner membrane protein
cgMLST V1	b1753 (ynjA)	carboxymuconolactone decarboxylase family protein
cgMLST V1	b4409 (blr)	beta-lactam resistance membrane protein; divisome-associated protein
cgMLST V1	b4702 (mgtL)	regulatory leader peptide for mgtA
cgMLST V1	b4703 (pmrR)	putative membrane-bound BasS regulator
cgMLST V1	b3288 (fmt)	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase
cgMLST V1	b3289 (rsmB)	"16S rRNA m(5)C967 methyltransferase, SAM-dependent "
cgMLST V1	b3280 (yrdB)	DUF1488 family protein
cgMLST V1	b3281 (aroE)	"dehydroshikimate reductase, NAD(P)-binding "
cgMLST V1	b3282 (tsaC)	"tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein, threonine-dependent ADP-forming ATPase"
cgMLST V1	b3283 (yrdD)	putative DNA topoisomerase
cgMLST V1	b3284 (smg)	DUF494 family putative periplasmic protein
cgMLST V1	b3868 (glnG)	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein
cgMLST V1	b3869 (glnL)	sensory histidine kinase in two-component regulatory system with GlnG
cgMLST V1	b3865 (yihA)	cell division GTP-binding protein
cgMLST V1	b3866 (yihI)	activator of Der GTPase
cgMLST V1	b3867 (hemN)	"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent "
cgMLST V1	b3860 (dsbA)	periplasmic protein disulfide isomerase I
cgMLST V1	b3863 (polA)	fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease
cgMLST V1	b1382 (ynbE)	lipoprotein
cgMLST V1	b1381 (ydbH)	"putative membrane-anchored protein, function unknown"
cgMLST V1	b1380 (ldhA)	"fermentative D-lactate dehydrogenase, NAD-dependent "
cgMLST V1	b0478 (ybaL)	inner membrane putative NAD(P)-binding transporter
cgMLST V1	b0472 (recR)	gap repair protein
cgMLST V1	b0473 (htpG)	"protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase"
cgMLST V1	b0470 (dnaX)	"DNA polymerase III/DNA elongation factor III, tau and gamma subunits "
cgMLST V1	b0471 (ybaB)	"DNA-binding protein, putative nucleoid-associated protein"
cgMLST V1	b0477 (gsk)	inosine/guanosine kinase
cgMLST V1	b0474 (adk)	adenylate kinase
cgMLST V1	b0475 (hemH)	ferrochelatase
cgMLST V1	b3125 (garR)	tartronate semialdehyde reductase
cgMLST V1	b3127 (garP)	putative (D)-galactarate transporter
cgMLST V1	b3126 (garL)	alpha-dehydro-beta-deoxy-D-glucarate aldolase
cgMLST V1	b2298 (yfcC)	"putative inner membrane transporter, C4-dicarboxylate anaerobic carrier family"
cgMLST V1	b2299 (yfcD)	putative NUDIX hydrolase
cgMLST V1	b2294 (yfbU)	UPF0304 family protein
cgMLST V1	b2296 (ackA)	acetate kinase A and propionate kinase 2
cgMLST V1	b2297 (pta)	phosphate acetyltransferase
cgMLST V1	b2290 (alaA)	valine-pyruvate aminotransferase 2
cgMLST V1	b2291 (yfbR)	5'-nucleotidase
cgMLST V1	b2292 (yfbS)	putative transporter
cgMLST V1	b2293 (yfbT)	sugar phosphatas
cgMLST V1	b2748 (ftsB)	cell division protein
cgMLST V1	b2749 (ygbE)	DUF3561 family inner membrane protein
cgMLST V1	b2742 (nlpD)	"activator of AmiC murein hydrolase activity, lipoprotein"
cgMLST V1	b2743 (pcm)	L-isoaspartate protein carboxylmethyltransferase type II
cgMLST V1	b2741 (rpoS)	"RNA polymerase, sigma S (sigma 38) factor"
cgMLST V1	b2746 (ispF)	"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase "
cgMLST V1	b2747 (ispD)	4-diphosphocytidyl-2C-methyl-D-erythritol synthase
cgMLST V1	b2744 (umpG)	broad specificity 5'(3')-nucleotidase and polyphosphatase
cgMLST V1	b2745 (truD)	tRNA(Glu) pseudouridine(13) synthase
cgMLST V1	b0753 (ybgS)	putative periplasmic protein
cgMLST V1	b0751 (pnuC)	nicotinamide riboside transporter
cgMLST V1	b4234 (yjgA)	ribosome-associated UPF0307 family protein
cgMLST V1	b0756 (galM)	aldose 1-epimerase; type-1 mutarotase
cgMLST V1	b0674 (asnB)	asparagine synthetase B
cgMLST V1	b0675 (umpH)	UMP phosphatase
cgMLST V1	b0676 (nagC)	N-acetylglucosamine-inducible nag divergent operon transcriptional repressor
cgMLST V1	b0677 (nagA)	N-acetylglucosamine-6-phosphate deacetylase
cgMLST V1	b0678 (nagB)	glucosamine-6-phosphate deaminase
cgMLST V1	b0679 (nagE)	"fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components "
cgMLST V1	b2504 (yfgG)	uncharacterized protein
cgMLST V1	b2505 (yfgH)	outer membrane integrity lipoprotein
cgMLST V1	b2506 (yfgI)	"nalidixic acid resistance protein, putative periplasmic protein"
cgMLST V1	b2507 (guaA)	GMP synthetase (glutamine aminotransferase)
cgMLST V1	b2500 (purN)	phosphoribosylglycinamide formyltransferase 1
cgMLST V1	b2501 (ppk)	"polyphosphate kinase, component of RNA degradosome "
cgMLST V1	b2502 (ppx)	exopolyphosphatase
cgMLST V1	b2508 (guaB)	IMP dehydrogenase
cgMLST V1	b1269 (rluB)	23S rRNA pseudouridine(2605) synthase
cgMLST V1	b1264 (trpE)	component I of anthranilate synthase
cgMLST V1	b1265 (trpL)	trp operon leader peptide
cgMLST V1	b1266 (yciV)	PHP domain protein
cgMLST V1	b1267 (yciO)	putative RNA binding protein
cgMLST V1	b1260 (trpA)	"tryptophan synthase, alpha subunit "
cgMLST V1	b1261 (trpB)	"tryptophan synthase, beta subunit "
cgMLST V1	b1262 (trpC)	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase
cgMLST V1	b1263 (trpD)	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase
cgMLST V1	b4018 (iclR)	transcriptional repressor
cgMLST V1	b4019 (metH)	"homocysteine-N5-methyltetrahydrofolate transmethylase, B12-dependent "
cgMLST V1	b4015 (aceA)	isocitrate lyase
cgMLST V1	b4012 (yjaB)	putative acetyltransferase
cgMLST V1	b4013 (metA)	homoserine O-transsuccinylase
cgMLST V1	b1069 (murJ)	putative peptidoglycan lipid II flippase
cgMLST V1	b1066 (rimJ)	ribosomal-protein-S5-alanine N-acetyltransferase
cgMLST V1	b1067 (yceH)	UPF0502 family protein
cgMLST V1	b1065 (mdtH)	multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin
cgMLST V1	b1062 (pyrC)	dihydro-orotase
cgMLST V1	b1063 (yceB)	"lipoprotein, DUF1439 family"
cgMLST V1	b1060 (bssS)	biofilm regulator
cgMLST V1	b1061 (dinI)	DNA damage-inducible protein I
cgMLST V1	b4258 (valS)	valyl-tRNA synthetase
cgMLST V1	b4259 (holC)	"DNA polymerase III, chi subunit "
cgMLST V1	b4256 (yjgM)	putative acetyltransferase
cgMLST V1	b4255 (rraB)	protein inhibitor of RNase E
cgMLST V1	b0006 (yaaA)	"peroxide resistance protein, lowers intracellular iron"
cgMLST V1	b0004 (thrC)	L-threonine synthase
cgMLST V1	b0003 (thrB)	homoserine kinase
cgMLST V1	b0002 (thrA)	Bifunctional aspartokinase/homoserine dehydrogenase 1
cgMLST V1	b0001 (thrL)	thr operon leader peptide
cgMLST V1	b0009 (mog)	molybdochelatase incorporating molybdenum into molybdopterin
cgMLST V1	b0008 (talB)	transaldolase B
cgMLST V1	b0948 (rlmL)	"fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase, SAM-dependent"
cgMLST V1	b0949 (uup)	putative transporter subunit of ABC superfamily: ATP-binding component
cgMLST V1	b0946 (zapC)	FtsZ stabilizer
cgMLST V1	b0947 (ycbX)	6-N-hydroxylaminopurine detoxification oxidoreductase
cgMLST V1	b0945 (pyrD)	"dihydro-orotate oxidase, FMN-linked "
cgMLST V1	b1603 (pntA)	"pyridine nucleotide transhydrogenase, alpha subunit "
cgMLST V1	b2937 (speB)	agmatinase
cgMLST V1	b2936 (loiP)	"Phe-Phe periplasmic metalloprotease, OM lipoprotein; low salt-inducible; heat shock protein that binds Era"
cgMLST V1	b2939 (yqgB)	uncharacterized protein
cgMLST V1	b2938 (speA)	"biosynthetic arginine decarboxylase, PLP-binding "
cgMLST V1	b0214 (rnhA)	"ribonuclease HI, degrades RNA of DNA-RNA hybrids "
cgMLST V1	b0215 (dnaQ)	DNA polymerase III epsilon subunit
cgMLST V1	b0212 (gloB)	hydroxyacylglutathione hydrolase
cgMLST V1	b0213 (yafS)	putative S-adenosyl-L-methionine-dependent methyltransferase
cgMLST V1	b0211 (mltD)	putative membrane-bound lytic murein transglycosylase D
cgMLST V1	b2214 (apbE)	putative thiamine-synthetic flavin transferase lipoprotein
cgMLST V1	b2216 (rcsD)	phosphotransfer intermediate protein in two-component regulatory system with RcsBC
cgMLST V1	b2217 (rcsB)	response regulator in two-component regulatory system with RcsC and YojN
cgMLST V1	b2210 (mqo)	"malate dehydrogenase, FAD/NAD(P)-binding domain "
cgMLST V1	b2211 (yojI)	"microcin J25 efflux pump, TolC-dependent; fused ABC transporter permease and ATP-binding components"
cgMLST V1	b2212 (alkB)	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions
cgMLST V1	b2213 (ada)	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase
cgMLST V1	b2218 (rcsC)	hybrid sensory kinase in two-component regulatory system with RcsB and YojN
cgMLST V1	b1976 (mtfA)	anti-repressor for DgsA(Mlc)
cgMLST V1	b1970 (hiuH)	hydroxyisourate hydrolase
cgMLST V1	b1971 (yedY)	"membrane-anchored, periplasmic TMAO, DMSO reductase"
cgMLST V1	b1972 (yedZ)	inner membrane heme subunit for periplasmic YedYZ reductase
cgMLST V1	b1973 (zinT)	"zinc and cadmium binding protein, periplasmic"
cgMLST V1	b0760 (modF)	fused molybdate transporter subunits of ABC superfamily: ATP-binding components
cgMLST V1	b3255 (accB)	"acetyl CoA carboxylase, BCCP subunit"
cgMLST V1	b0931 (pncB)	nicotinate phosphoribosyltransferase
cgMLST V1	b0810 (glnP)	glutamine transporter subunit
cgMLST V1	b0812 (dps)	Fe-binding and storage protein; stress-inducible DNA-binding protetin
cgMLST V1	b3040 (zupT)	zinc transporter
cgMLST V1	b3041 (ribB)	"3,4-dihydroxy-2-butanone-4-phosphate synthase "
cgMLST V1	b2399 (yfeD)	DUF1323 family putative DNA-binding protein
cgMLST V1	b2398 (yfeC)	DUF1323 family putative DNA-binding protein
cgMLST V1	b2390 (ypeC)	DUF2502 family putative periplasmic protein
cgMLST V1	b2393 (nupC)	nucleoside (except guanosine) transporter
cgMLST V1	b2392 (mntH)	manganese/divalent cation transporter
cgMLST V1	b0368 (tauD)	"taurine dioxygenase, 2-oxoglutarate-dependent "
cgMLST V1	b0733 (cydA)	"cytochrome d terminal oxidase, subunit I "
cgMLST V1	b0735 (ybgE)	putative inner membrane protein in cydABX-ybgE operon
cgMLST V1	b0734 (cydB)	"cytochrome d terminal oxidase, subunit II "
cgMLST V1	b0737 (tolQ)	membrane spanning protein in TolA-TolQ-TolR complex
cgMLST V1	b0736 (ybgC)	acyl-CoA thioester hydrolase
cgMLST V1	b0739 (tolA)	membrane anchored protein in TolA-TolQ-TolR complex
cgMLST V1	b0738 (tolR)	membrane spanning protein in TolA-TolQ-TolR complex
cgMLST V1	b0089 (ftsW)	lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division
cgMLST V1	b0088 (murD)	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
cgMLST V1	b0087 (mraY)	phospho-N-acetylmuramoyl-pentapeptide transferase
cgMLST V1	b0086 (murF)	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
cgMLST V1	b0085 (murE)	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
cgMLST V1	b0084 (ftsI)	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
cgMLST V1	b0083 (ftsL)	membrane bound cell division protein at septum containing leucine zipper motif
cgMLST V1	b0082 (rsmH)	"16S rRNA m(4)C1402 methyltransferase, SAM-dependent "
cgMLST V1	b0081 (mraZ)	RsmH methytransferase inhibitor
cgMLST V1	b0080 (cra)	transcriptional repressor-activator for carbon metabolism
cgMLST V1	b2620 (smpB)	trans-translation protein
cgMLST V1	b4111 (proP)	proline/glycine betaine transporter
cgMLST V1	b4113 (basR)	response regulator in two-component regulatory system with BasS
cgMLST V1	b4112 (basS)	sensory histidine kinase in two-component regulatory system with BasR
cgMLST V1	b4115 (adiC)	arginine:agmatine antiporter
cgMLST V1	b4114 (eptA)	lipid A phosphoethanolamine transferase
cgMLST V1	b4117 (adiA)	arginine decarboxylase
cgMLST V1	b4116 (adiY)	adi system transcriptional activator
